210	which patients posess self pay insurance and died in or before the year 2173?
780	get the  patients less than 82 years who have pneumonia as their primary disease.
36	which patients are diagnosed with hx of colonic malignancy and have iv route of drug administration?
193	which patients diagnosed under icd9 code 76525 had cerebrospinal fluid as lab test fluid?
617	tell me the  patients diagnosed with obstructive sleep apnea who have been admitted for more than 26 days.
931	which are the  patients with chemistry lab test category who had thoracentesis procedure?
638	which patients marital status is single and are procedured with transplant cadaver donor?
984	get me the  female patients who have complete heart block primary disease.
452	provide the  patients who had exteriorization of small intestine and were less than 67 years of age.
674	the  inpatient hospital admission patients born before 2092.
238	which are the total  such patients who had mesenteric ischemia as primary disease and were discharged to home?
232	which patients have diagnoses icd9 code 2920?
596	which  patients with whose lab test result is abnormal had the diagnoses titled ocl crtd art wo infrct?
37	which are the  patients less than 82 years who underwent procedure with short title endosc destruc esoph les?
1070	which patients who were prescribed eplerenone were male?
5	which patients diagnosed with esophageal reflux were discharged to home health care?
161	which female patients have the diagnosis icd9 code 56962?
916	provide the  patients whose diagnosis long title is unspecified gastritis and gastroduodenitis, without mention of hemorrhage with a base drug type.
319	find the  female patients who are suffering from rash primary disease.
914	give the  patients younger than 27 years whose lab test abnormal status is delta.
41	calculate the total  unmarried patients diagnosed with depressive disorder, not elsewhere classified.
812	which patients stayed in hospital for more than 9 days and used the drug ibuprofen suspension?
55	which are the  patients whose hospital stay is above 14 days and with lab test methemoglobin?
572	specify the total  patients who were born before the year 2043 that had lab test for joint fluid
706	which of the patients with episodic mood disord nos belonged to hispanic or latino ethnic origin?
426	which patients are born before 2056 and with lab test name glucose pleural?
858	which patients that died were diagnosed with icd9 code v5883?
612	tell me the  patients with s/p hanging primary disease.
950	the  patients less than 77 years who take drug via inhalation.
418	which patients admitted in emergency have undergone the procedure with short title enterovesico fist repair?
363	how may patients are diagnosed with their primary disease as hypoxia?
120	which patients are admitted under emergency and diagnosed with icd9 code 5609?
508	get the  male patients who were born before the year 2024.
755	which patients had left femur fracture as the primary disease?
740	which patients stayed in hospital for more than 11 days and followed the procedure arterial catheterization?
961	which emergency hospital admission patients have calculus of bile duct without mention of cholecystitis or obstruction diagnoses?
578	which patients born before 2112 have undergone the procedure with short title percutan liver aspirat?
597	which of the patients who had spinal tap are married?
347	get me the  patients who have a chemistry lab test category along with diagnoses icd9 code 2760.
485	calculate the  patients diagnosed with icd9 code 5589 who had a blood test
974	let me know the  patients born before 1882 who had delta abnormal lab test status.
413	which patients were ordered cd3 cells, percent lab test?
483	the  private health insurance patients who underwent regional lymph node excision.
980	which non-hospitalized patients had contrast arteriogram-leg procedure?
124	provide me the  patients less than 85 years who had cerebrospinal fluid (csf) lab test.
781	which patients are admitted in emergency and diagnosed for awaiting organ transplant status?
817	which are the  dead patients who had brain mass intracranial hemorrhage?
207	which patients are admitted before the year 2162 with procedure left heart cardiac cath?
99	which patients were diagnosed with interstitial emphysema with related conditions and got the lab test for blood gas?
656	which patients of white ethnicty were diagnosed under icd9 code 7069?
153	among patients aged below 20, which of them stayed at the hospital for more than 20 days?
761	which of the patients were treated with drug gcsf480i?
743	which white - russian patients were admitted before the year 2151?
313	which patients have calc100i as their drug code?
433	among the patients who stayed at hospital for more than 2 days, which of them had a lab test for ascites?
853	which widowed patients had lab test item id 51482?
177	give the  patients who were admitted before the year 2158 and whose diagnosis long title is unspecified pleural effusion.
348	which  patients under the age of 85 were diagnosed with hypotension of hemodialysis?
759	provide the  patients had open biopsy of liver and their language is english.
20	which patients with guillain barre syndrome primary disease were born before 2152?
820	out of the total  patients admitted before the year 2131, calculate the  those who remained admitted in hospital for more than 23 days.
806	the  patients who have admitted before the year 2179 and stayed in the hospital for more than 29 days.
1043	which patients were diagnosed with seroma complicating procedure?
545	which patients stayed in hospital for more than 1 day and were procedured with spinal tap?
224	which patients admitted before the year 2198 are diagnosed with primary disease aortic insufficiency\re-do sternotomy; aortic valve replacement?
531	which patients admitted before 2166 were diagnosed with pneumococcal pneumonia (streptococcus pneumoniae pneumonia)?
634	which patients are diagnosed for ulcer of heel and midfoot with drug route tp?
694	give the  male patients whose procedure icd9 code is 5732,
